GeneName DrugID
HIST1H2AC MAPK14
HIST1H2AC KPNA2
HIST1H2AC ITGA2B
HIST1H2AC POLR1A
HIST1H2AC PRMT1
HIST1H2AC HIST1H2BC
HIST1H2AC MRGBP
HIST1H2AC MYBBP1A
HIST1H2AC RAD50
HIST1H2AC WDR77
HIST1H2AC SMC2
HIST1H2AC RUNX1
HIST1H2AC RAN
HIST1H2AC PRMT5
MPO RUNX1
SMARCC1 WDR77
CBFB MOV10
CBFB ITGA2B
CBFB HIST1H2AC
CBFB STAT1
CBFB CTSL
CBFB CLDN5
CBFB TCEB2
CBFB HDAC6
CBFB PPIA
CBFB PRMT1
CBFB TJP1
CBFB ITGA5
CBFB PF4
CBFB GPAM
CBFB SMARCC1
CBFB SMARCA4
CBFB RUNX1
SMARCA4 STAT5A
SMARCA4 SUPT6H
SMARCA4 WDR77
SMARCA4 SMARCC1
MOV10 UPF1
MOV10 PRMT1
MOV10 RUNX1
CTBP2 RUNX1
APCS HIST1H2AC
PRMT5 WDR77
PRMT5 SMARCC1
PRMT5 SMARCA4
PWP1 RRS1
PWP1 RRP12
ELAC2 RRP12
NHP2 NOP2
NHP2 RRS1
NHP2 RRP12
DDX47 NOP2
DDX47 GRWD1
DDX47 RRS1
DDX47 RRP12
DCAF13 NOP2
DCAF13 GRWD1
DCAF13 RRS1
DCAF13 RRP12
RRP12 UTP20
RRP12 WDR12
RRP12 UTP6
RRP12 RSL1D1
RRP12 UTP14A
RRP12 TRMT61A
RRP12 WDR3
RRP12 RRP1B
RRP12 TFB2M
RRP12 TRMT6
RRP12 TBL3
RRP12 UTP15
RRP12 TRMT1L
RRP12 WDR36
RRP12 WDR75
RRP12 RRS1
NOL6 NOP2
NOL6 RRS1
NOL6 RRP12
EMG1 NOP2
EMG1 GRWD1
EMG1 GMPS
EMG1 RRS1
NOC4L NOP2
NOC4L RRS1
NOC4L RRP12
BYSL NOP2
BYSL GRWD1
BYSL RRS1
BYSL RRP12
AATF NOP2
AATF GRWD1
AATF RRS1
AATF RRP12
BOP1 NOP2
BOP1 IPO4
BOP1 GRWD1
BOP1 GMPS
BOP1 RRS1
BOP1 RRP12
NOP9 RRS1
NOP9 RRP12
DDX5 NOP2
DDX5 HNRNPA1
DDX5 GMPS
DDX5 RRP12
NOL10 NOP2
NOL10 RRS1
NOL10 RRP12
NOC2L NOP2
NOC2L RRS1
NOC2L RRP12
GNL3 NOP2
GNL3 IPO4
GNL3 GRWD1
GNL3 RRS1
GNL3 RRP12
EXOSC10 RRS1
DDX54 NOP2
DDX54 GRWD1
DDX54 RRS1
DDX54 RRP12
DDX27 NOP2
DDX27 GRWD1
DDX27 RRS1
DDX27 RRP12
PAK1IP1 RRS1
PAK1IP1 RRP12
DDX24 NOP2
DDX24 GRWD1
DDX24 RRS1
DDX24 RRP12
GCN1L1 RRP12
MYBBP1A PCNA
MYBBP1A NOP2
MYBBP1A RRS1
MYBBP1A RRP12
MYBBP1A RAN
HEATR1 NOP2
HEATR1 IPO4
HEATR1 RRS1
HEATR1 RRP12
RRP1B RRS1
HGH1 RRS1
RRS1 TRMT61A
RRS1 TFB2M
RRS1 SSB
RRS1 WDR36
RRS1 WDR75
RRS1 RSL1D1
RRS1 UTP14A
RRS1 UTP6
RRS1 UTP15
RRS1 RTCA
RRS1 TBL3
RRS1 TRMT6
RRS1 WDR3
RRS1 WDR12
NSUN2 RRP12
NAT10 NOP2
NAT10 RRS1
NAT10 RRP12
POLR1A RRS1
POLR1A RRP12
NOL11 RRS1
GRWD1 NOP2
GRWD1 IPO4
GRWD1 PWP1
GRWD1 TBL3
GRWD1 RSL1D1
GRWD1 RRP1B
GRWD1 RBM28
GRWD1 NHP2
GRWD1 NOC4L
GRWD1 PDCD11
GRWD1 KRI1
GRWD1 NAT10
GRWD1 RPF2
GRWD1 MYBBP1A
GRWD1 NOC2L
GRWD1 TRMT61A
GRWD1 WDR12
GRWD1 NOL10
GRWD1 RTCA
GRWD1 NMD3
GRWD1 NSUN2
GRWD1 PAK1IP1
GRWD1 UTP6
GRWD1 UTP15
GRWD1 WDR3
GRWD1 HEATR1
GRWD1 WDR36
GRWD1 TFB2M
GRWD1 PWP2
GRWD1 NOP9
GRWD1 POLR1A
GRWD1 HGH1
GRWD1 NOL6
GRWD1 WDR75
GRWD1 TRMT6
GRWD1 UTP14A
GRWD1 RRS1
GRWD1 RRP12
KRI1 NOP2
KRI1 RRS1
KRI1 RRP12
BMS1 NOP2
BMS1 IPO4
BMS1 GRWD1
BMS1 RRS1
BMS1 RRP12
RBM28 RRS1
RBM28 RRP12
PDCD11 RRS1
PDCD11 RRP12
RPF2 RRS1
RPF2 RRP12
NMD3 NOP2
NMD3 RRS1
NMD3 RRP12
NMD3 RAN
IPO4 NOP2
IPO4 NOL6
IPO4 NAT10
IPO4 PWP2
IPO4 NOC2L
IPO4 WDR36
IPO4 POLR1A
IPO4 WDR3
IPO4 PDCD11
IPO4 TBL3
IPO4 RRP12
FTSJ3 NOP2
FTSJ3 IPO4
FTSJ3 GRWD1
FTSJ3 GMPS
FTSJ3 RRS1
FTSJ3 RRP12
CEBPZ NOP2
CEBPZ RRS1
CEBPZ RRP12
NVL RRP12
DDX56 NOP2
DDX56 GRWD1
DDX56 RRS1
DDX56 RRP12
GNL1 RRS1
NOP2 NVL
NOP2 WDR3
NOP2 UTP15
NOP2 NSUN2
NOP2 NOP9
NOP2 PWP1
NOP2 POLR1A
NOP2 WDR12
NOP2 PWP2
NOP2 RSL1D1
NOP2 PAK1IP1
NOP2 UTP20
NOP2 UTP14A
NOP2 UTP6
NOP2 RBM28
NOP2 RPF2
NOP2 TBL3
NOP2 RRP1B
NOP2 TRMT6
NOP2 PDCD11
NOP2 WDR75
NOP2 WDR36
NOP2 RRS1
NOP2 RRP12
POLR3C RRP12
PWP2 RRS1
PWP2 RRP12
BCCIP NOP2
BCCIP GRWD1
BCCIP RRS1
ITGA6 YWHAZ
ITGA6 YWHAQ
ITGA6 SFN
MAP2K2 PAPSS1
MAP2K2 YWHAG
MAP2K2 PAK1
MAP2K2 PPP2R1B
MAP2K2 ZC3HAV1
MAP2K2 YWHAZ
MAP2K2 YWHAQ
MAP2K2 SFN
MAP2K2 PTPN11
MAP2K2 PLA2G4A
VAMP2 YWHAZ
VAMP2 YWHAQ
YWHAG YWHAZ
YWHAG YWHAQ
LAMC2 YWHAZ
LAMC2 YWHAQ
LAMC2 SFN
PPP2R1B YES1
PPP2R1B RANBP2
PPP2R1B PTPN11
ITGA2B MAP2K2
ITGA2B MAP2K1
ITGA2B JAK1
ITGA2B ITGB1
ITGA2B ITGB3
ITGA2B SYK
ITGA2B STAT5A
ITGA2B ITGB4
ITGA2B PAPSS1
ITGA2B ITGB6
ITGA2B PRMT1
ITGA2B ZC3HAV1
ITGA2B RUNX1
FAM114A2 MAP2K2
FAM114A2 MAP2K1
FAM114A2 ITGA2B
FAM114A2 ZC3HAV1
FAM114A2 ITGB3
FAM114A2 PAPSS1
PIN1 YWHAZ
PIN1 YWHAQ
PIN1 SFN
YWHAQ YWHAZ
XPO1 YWHAZ
XPO1 YWHAQ
AKT1 MAPK14
AKT1 JAK1
AKT1 ITGA2B
AKT1 IKBKB
AKT1 GNG2
AKT1 GNG11
AKT1 GNAI1
AKT1 FYN
AKT1 DEPTOR
AKT1 CBFB
AKT1 YWHAZ
AKT1 YWHAQ
AKT1 YES1
AKT1 XIAP
AKT1 PTGES3
AKT1 ITGB3
AKT1 PPP2R1B
AKT1 GSK3A
AKT1 RHEB
AKT1 SOD3
AKT1 TEP1
AKT1 GSK3B
AKT1 INPPL1
AKT1 PPP2R5D
AKT1 YWHAG
AKT1 LAMC2
AKT1 ITGA6
AKT1 LAMB1
AKT1 ITGB4
AKT1 HSP90AB1
AKT1 RBP1
AKT1 PAK1
AKT1 PPP2R5E
AKT1 OGT
AKT1 APAF1
AKT1 EGLN1
AKT1 SFN
AKT1 PTPN11
AKT1 PFKP
AKT1 PDK1
INPPL1 JAK1
DEPTOR YWHAZ
DEPTOR YWHAQ
DEPTOR YWHAG
DEPTOR IGBP1
DEPTOR RHEB
DEPTOR SFN
LRRK2 YWHAZ
LRRK2 YWHAQ
LRRK2 SFN
ARAF MAP2K2
ARAF MAP2K1
ARAF ITGA2B
ARAF FAM114A2
ARAF CSK
ARAF BRAP
ARAF ZC3HAV1
ARAF YWHAZ
ARAF PPP2R5D
ARAF PPP2R1B
ARAF ATG7
ARAF PPP2R5E
ARAF PAPSS1
ARAF ITGB3
ARAF RRAS2
ARAF RRAS
PAPSS1 ZC3HAV1
ITGB3 MAP2K2
ITGB3 MAP2K1
ITGB3 ZC3HAV1
SFN XPO1
SFN YWHAG
SFN VAMP2
SFN YWHAZ
SFN YWHAQ
APBB1IP MAP2K2
APBB1IP MAP2K1
APBB1IP ITGA2B
APBB1IP FAM114A2
APBB1IP CSK
APBB1IP ARAF
APBB1IP ZC3HAV1
APBB1IP ITGB3
APBB1IP SYK
APBB1IP PAPSS1
APBB1IP PFN1
APBB1IP ATG7
APBB1IP PFN2
ITGB4 YWHAZ
ITGB4 YWHAQ
ITGB4 SFN
MAP2K1 MAPK14
MAP2K1 MAP2K2
MAP2K1 PAK2
MAP2K1 PPP2R1B
MAP2K1 PAK1
MAP2K1 PAPSS1
MAP2K1 YWHAG
MAP2K1 ZC3HAV1
MAP2K1 YWHAZ
MAP2K1 YWHAQ
MAP2K1 SFN
MAP2K1 PTPN11
MAP2K1 PLA2G4A
ITGB1 YWHAZ
ITGB1 TEK
ITGB1 PTPN2
FKBP5 SFN
HSPB6 SFN
CSK MAP2K2
CSK MAP2K1
CSK ITGA2B
CSK FYN
CSK FAM114A2
CSK ZC3HAV1
CSK ZAP70
CSK YES1
CSK FRK
CSK PECAM1
CSK ITGA1
CSK TENC1
CSK ITGB1
CSK ITGB3
CSK TNS1
CSK PTPN6
CSK PAPSS1
CSK RASA1
CSK PTPN11
LAMB1 YWHAZ
LAMB1 YWHAQ
LAMB1 SFN
ATG7 MAP2K2
ATG7 MAP2K1
ATG7 ITGA2B
ATG7 FAM114A2
ATG7 CSK
ATG7 ZC3HAV1
HSP90AB1 IKBKB
HSP90AB1 RIPK1
AHSA1 FASN
AHSA1 HSPH1
AHSA1 PPID
AHSA1 HSP90AB1
AHSA1 PTGES3
AHSA1 STIP1
AHSA1 CACYBP
AHSA1 TRAP1
EIF4G3 PABPC4
LARP4B PABPC4
LARP4B RPS23
LARP4B RPL38
LARP4B RPS26
LARP4B RPL24
RPL38 RRS1
ABCF1 LARP4B
ATXN2L PABPC4
ATXN2L G3BP2
ATXN2L SLC9A3R2
NUBP2 PABPC4
NUBP2 POLD1
CARM1 PCNA
CARM1 PABPC4
CARM1 ME1
PABPC4 PAIP1
LARP4 PABPC4
GSPT1 PABPC4
EIF4G1 PABPC4
GLUL OPLAH
GLUL PPAT
CPS1 GLUL
CPS1 GLS2
GGT7 GLUL
GGT7 GLS2
ALDH18A1 OAT
ALDH18A1 GLUL
ALDH18A1 GLS2
OAT PITPNB
CNDP2 GLUL
CNDP2 GLS2
GLS2 GLUL
GLS2 OPLAH
GLS2 PPAT
GCLC GLUL
GCLC GLS2
CAD IPO4
CAD GLUL
CAD GLS2
CAD GFPT1
CAD PPAT
GCLM GLUL
GCLM GLS2
ITPR1 LRRFIP2
ITPR1 VAMP2
ITPR1 PLCD3
ITPR1 SYK
ITPR1 STXBP1
ITPR1 VAV1
ITPR1 PLCG2
ANK1 ITPR1
PRKCH YWHAZ
GNG2 MAPK14
GNG2 ITPR1
GNG2 GRK5
GNG2 PPBP
GNG2 UBQLN1
GNG2 PTPN6
GNG2 PF4
GNG2 S1PR2
GNG2 RAMP2
GNG2 PTPN11
GNG2 PRKCH
GNAI1 MAPK14
GNAI1 ITPR1
GNAI1 GNG2
GNAI1 GNG11
GNAI1 GNAQ
GNAI1 PPBP
GNAI1 PF4
GNAI1 STXBP1
GNAI1 RIC8A
GNAI1 VAMP2
GNAI1 S1PR2
GNAI1 PTPN11
PF4 S1PR2
PF4 RUNX1
CALCRL GNG2
CALCRL GNG11
CALCRL RAMP2
ARHGEF1 GNG2
ARHGEF1 GNG11
ARHGEF1 GNAQ
ARHGEF1 RHOJ
ARHGEF1 RHOB
HTT ITPR1
PPBP S1PR2
GNAQ MAPK14
GNAQ GNG2
GNAQ GNG11
GNAQ GRK5
GNAQ VAV1
GNAQ S1PR2
GNAQ RHOB
GNAQ PLA2G4A
GNA11 MAPK14
GNA11 GNG2
GNA11 GNG11
GNA11 GNAQ
GNA11 GNAI1
GNA11 GRK5
GNA11 S1PR2
GNA11 RHOB
GNA11 PLA2G4A
GNG11 MAPK14
GNG11 ITPR1
GNG11 GNG2
GNG11 PPBP
GNG11 PF4
GNG11 GRK5
GNG11 S1PR2
GNG11 RAMP2
GNG11 PRKCH
ADRBK1 GNG2
ADRBK1 GNG11
ADRBK1 GNAQ
ADRBK1 GNA11
CACNA2D2 GNG2
CACNA2D2 GNG11
CACNA2D2 GNAI1
LSP1 MAPK14
PTPN11 STAT1
PTPN11 VAV2
PTPN11 TBK1
PTPN11 PTPN6
PTPN11 STAT2
PTPN11 SYK
PTPN11 YES1
PTPN11 VAV1
PTPN11 TEK
PTPN11 RUNX1
CDH5 VAV1
BRAP RRAS2
BRAP RRAS
LRP8 MAPK14
MET RRAS
MET PTPN2
MET PTPN11
MET PLCG2
EML4 JAK1
EML4 PLCG2
CLIC5 YES1
MAPK14 MOV10
MAPK14 PAK1
MAPK14 PEA15
MAPK14 SYK
MAPK14 STAT1
MAPK14 PAK2
MAPK14 ZAP70
MAPK14 YWHAZ
MAPK14 YES1
MAPK14 TEK
MAPK14 S1PR2
MAPK14 RIPK1
MAPK14 PLA2G4A
CAV2 FYN
FGF2 JAK1
FGF2 TEK
FGF2 PTPN11
PTPN6 ZAP70
PTPN6 VAV1
LCP2 ZAP70
LCP2 VAV1
LCP2 PTPN11
LCP2 PLCG2
EIF2A EIF2AK2
ARIH1 JAK1
ARIH1 EIF2AK2
JAK1 MAPK14
JAK1 MAP2K2
JAK1 MAP2K1
JAK1 STAT2
JAK1 MX2
JAK1 SYK
JAK1 MX1
JAK1 STAT5A
JAK1 STAT1
JAK1 MET
JAK1 PTPN6
JAK1 UBE2L6
JAK1 TRIM25
JAK1 VAV1
JAK1 PTPN2
JAK1 PTPN11
CD2AP FYN
STAT1 YES1
FES JAK1
FES FYN
FES TEK
FES RRAS
STAT5A YES1
STAT5A TEK
DUSP3 MAPK14
PTPN13 YES1
IRF9 JAK1
FYN MAPK14
FYN JAK1
FYN ITGA2B
FYN ZAP70
FYN HLA-E
FYN KIRREL
FYN PECAM1
FYN PPP2R5D
FYN SPTBN2
FYN PAK2
FYN STAT1
FYN PTPN6
FYN STAT5A
FYN PLXNA2
FYN PPP2R5E
FYN VAV2
FYN PTPRA
FYN GSK3B
FYN HSP90AB1
FYN SYK
FYN SPTAN1
FYN PAK1
FYN YES1
FYN SNCA
FYN PTPN13
FYN SPTA1
FYN SPTBN1
FYN ITGB1
FYN SPTB
FYN MAPK13
FYN ITGA1
FYN LRP8
FYN PRNP
FYN LCP2
FYN PPP2R1B
FYN VAV1
FYN TEK
FYN RRAS
FYN RASA1
FYN PTPN11
FYN PLCG2
BCR CSK
BCR RHOJ
BCR RHOB
BCR RASA1
BCR PLCG2
PPP2R5D YES1
PPP2R5D RANBP2
PPP2R5D PTPN11
PAK1 YES1
PAK1 VAV1
PAK1 PLCG2
INPP5D JAK1
INPP5D RASA1
INPP5D PTPN11
YES1 ZAP70
SYK ZAP70
SYK YES1
SYK VAV1
MAPK13 MAPK14
MAPK13 ZAP70
SNCA YES1
APOB MAPK14
APOB GOLM1
APOB PTPN11
RAPGEF2 RRAS2
RAPGEF2 RRAS
CD36 MAPK14
CD36 FYN
EIF2AK2 JAK1
EIF2AK2 UBE2L6
EIF2AK2 MX1
EIF2AK2 STAT1
EIF2AK2 TRIM25
EIF2AK2 ISG15
EIF2AK2 MX2
EIF2AK2 STAU2
EIF2AK2 RIPK1
EIF2AK2 PTPN2
PLCG2 VAV2
PLCG2 PTPN6
PLCG2 SYK
PLCG2 ZAP70
PLCG2 YES1
PLCG2 VAV1
CTTN FYN
NCKAP1L VAV1
RASA1 YES1
RASA1 TEK
RASA1 RRAS2
RASA1 RRAS
RASA1 RASAL3
EFNB1 MAP2K1
EFNB1 FYN
EFNB1 YES1
EFNB1 PAK1
EFNB1 PTPN13
EFNB1 MMP9
EFNB1 PAK2
EFNB1 RRAS
EFNB1 RASA1
EML1 EML4
PLXNA2 RRAS
KRT8 MAPK14
ARHGAP35 FYN
ARHGAP35 YES1
ARHGAP35 MET
ARHGAP35 RHOJ
ARHGAP35 RHOB
ARHGAP35 RASA1
ARHGAP35 PTPN11
CMA1 FYN
HLA-E PLCG2
VAV1 VAV2
VAV1 WAS
VAV1 ZAP70
VAV1 YES1
PIP4K2C PLCG2
PECAM1 YES1
PECAM1 PTPN11
CDK5 MAP2K1
CDK5 FYN
CDK5 GSK3B
CDK5 PLXNA2
CDK5 PAK1
CDK5 SFN
PLXND1 RRAS
PLA2G4A SYK
VAV2 YES1
PTPN2 STAT1
PTPN2 VARS
PTPN2 STAT5A
PTPN2 PTPN6
PAK2 YES1
PAK2 VAV1
PAK2 PLCG2
IL6ST JAK1
IL6ST VAV1
IL6ST PTPN11
RRAS YES1
RRAS RRAS2
ITGA1 PTPN2
PPP2R5E YES1
PPP2R5E RANBP2
PPP2R5E PTPN11
EIF2B5 GSK3B
EIF2B2 EIF2B5
EIF2B2 EIF2B4
EIF2B2 EIF2B3
EIF2B3 EIF2B5
EIF2B3 EIF2B4
EIF2B1 EIF2B5
EIF2B1 EIF2B4
EIF2B1 EIF2B3
EIF2B1 EIF2B2
EIF2B4 EIF2B5
LDHA ME1
LDHA LDHB
LDHA PC
LDHA TKT
LDHA TALDO1
LDHA PKM
PGM1 TPI1
PGM1 TKT
PGM1 TALDO1
PGM1 PGM2
HEXB NAGK
MPI PFKP
GNPDA2 HK3
GNPDA2 HK2
GNPDA2 GPI
GNPDA2 GNPNAT1
GNPDA2 MPI
GNPDA2 SNX12
APOA1BP GAPDH
PGAM1 TPI1
PGAM1 TALDO1
PGAM1 PGK1
GALM HK3
GALM HK2
GNPDA1 HK3
GNPDA1 HK2
GNPDA1 GPI
GNPDA1 GNPNAT1
GNPDA1 GNPDA2
GNPDA1 MPI
NUDT5 PGM2
PC PKM
TKT UFC1
TKT TPI1
ENO1 GPI
ENO1 GAPDH
ENO1 G6PD
ENO1 ENO2
ENO1 TPI1
ENO1 TKT
ENO1 TALDO1
ENO1 PKM
ENO1 PGK1
ENO1 PGAM1
SSU72 TPI1
NUDT9 PGM2
ME1 PC
ME1 SRA1
ME1 PKM
COPS5 LDHA
RPE TKT
AKR1B1 HK3
AKR1B1 HK2
AKR1B1 ENO2
AKR1B1 ENO1
AKR1B1 AKR1C3
AKR1B1 GALM
AKR1B1 SORD
AKR1B1 GPX4
AKR1B1 GK
AKR1B1 GLB1
AKR1B1 GLA
PGD TALDO1
C12orf5 HK2
C12orf5 MPI
C12orf5 PFKP
G6PD LDHB
G6PD LDHA
G6PD HK3
G6PD HK2
G6PD GPI
G6PD GAPDH
G6PD PGM1
G6PD PGD
G6PD PGLS
G6PD TPI1
G6PD PKM
G6PD PGM2
G6PD PGAM1
GFPT1 HK3
GFPT1 HK2
GFPT1 GPI
GFPT1 GNPNAT1
GFPT1 GNPDA2
GFPT1 GNPDA1
GFPT1 GLUL
GFPT1 GLS2
GFPT1 MPI
GFPT1 PPAT
PGM3 UAP1
PGM3 UAP1L1
PGK1 TPI1
PGK1 PKM
GLB1 HK3
GLB1 HK2
NAGK RENBP
NAGK PGM3
PGM2 PYGL
PGM2 UGP2
PGM2 PNP
PGM2 PGM2L1
PGM2 TPI1
PGM2 TKT
PGM2 TALDO1
HELZ2 ME1
GPI LDHB
GPI LDHA
GPI HK3
GPI HK2
GPI PGM1
GPI PGM5
GPI MPI
GPI TPI1
GPI TKT
GPI TALDO1
GPI PKM
GPI PGM2
GPI PGK1
GPI PGAM1
GPI PFKP
DAK TRIM25
DAK GNPAT
DAK TPI1
PCBD1 UAP1L1
NIT2 TPI1
HEXA NAGK
GAPDH GPI
GAPDH TPI1
GAPDH TKT
GAPDH TALDO1
GAPDH PKM
GAPDH PGK1
GAPDH PGAM1
GNPNAT1 NAGK
