Drug,N.Targets,N.Seedgenes,d,zscore,pvalue
C01BDZ,1,2,5.0,0.31538442975009784,0.491
C01BWL,2,8,4.0,1.9145648464762437,1.0
C01FVM,1,6,5.0,1.652501668143813,0.9618
C01GQV,2,7,3.0,0.4699396974123929,0.7292
C01QHB,1,7,0.0,-2.2636720521473412,0.0368
C02GUX,1,2,5.0,0.6523926993808817,0.7584
C02HZN,1,3,3.0,-0.691156774788627,0.3394
C02LOP,2,7,4.0,1.4265390035918375,1.0
C02NBO,1,2,6.0,2.5206485818067255,1.0
C02NZH,1,7,4.0,1.9688729820118016,1.0
C02PGS,1,7,2.0,-1.1452529211278295,0.4326
C02UKH,1,0,4.0,,0.0
C02UYV,1,2,7.0,1.9823211620444843,1.0
C02VME,1,6,4.0,0.6172559358506726,0.8378
C02ZBI,2,2,6.5,1.5182459757737268,1.0
C03FHV,1,7,4.0,1.5622557630921081,1.0
C03KFP,2,7,1.0,-1.3315948869841592,0.2132
C03KOG,1,8,4.0,0.7025894816973867,1.0
C03KUV,1,7,3.0,,0.0
C03NAR,1,2,6.0,2.3157085085033615,1.0
C03OEI,1,0,3.0,,0.0
C03ZRM,1,3,3.0,-0.8945826973761394,0.3386
C04EHN,2,7,4.0,1.4265390035918375,1.0
C04EVK,1,7,0.0,-2.2078606098047735,0.0328
C04GFC,1,7,2.0,-0.3312537631602874,0.4794
C04GKV,2,0,2.5,,0.0
C04GVM,1,2,7.0,2.0183269954620426,1.0
C04HQK,3,2,6.333333333333333,0.905789639779728,0.6334
C04INH,2,6,4.0,0.6172559358506726,0.8378
C04JES,1,2,7.0,4.513846846116505,1.0
C04JOX,3,7,4.0,1.805769053239581,1.0
C04OXM,1,7,2.0,-0.6235674643367874,0.3976
C04OYX,1,8,4.0,,0.0
C04PAT,1,7,4.0,1.924983807529696,1.0
C05FRE,1,7,2.0,-1.0142771636672199,0.4326
C05LVD,1,3,3.0,-1.39512578557354,0.3394
C05MQY,1,8,3.0,0.3548297524368113,0.868
C05OBK,1,0,3.0,,0.0
C05OSP,1,7,2.0,-0.9997287962492104,0.4394
C05PBG,1,6,4.0,0.6172559358506726,0.8378
C05QCD,1,2,7.0,2.0183269954620426,1.0
C05RJC,1,2,5.0,3.0184890348386744,1.0
C05SEW,1,7,1.0,-2.555121215115803,0.0
C05ULY,1,2,5.0,0.31538442975009784,0.491
C05WVF,1,7,4.0,1.1249528007014657,1.0
C06AMS,1,3,3.0,-0.782280068689655,0.4158
C06DWR,1,7,2.0,-0.9960828120098713,0.4414
C06EWA,1,7,4.0,1.1295267496600256,1.0
C06INP,2,7,3.0,0.4699396974123929,0.7292
C06QAI,2,0,2.5,,0.0
C06SLN,1,8,4.0,0.7025894816973867,1.0
C06WZQ,1,6,5.0,1.652501668143813,0.9618
C07BXP,1,2,7.0,1.9102505490428532,1.0
C07BZQ,2,2,6.0,0.9821591226678524,1.0
C07HJM,1,2,7.0,3.7618147229547754,1.0
C07LGP,2,7,1.5,-2.0299984140643583,0.0
C07MCW,2,7,4.0,1.4265390035918375,1.0
C07TEG,1,7,5.0,1.3837165944169567,1.0
C07VNB,1,7,0.0,-2.2636720521473412,0.0368
C07YKP,1,3,3.0,-0.691156774788627,0.3394
C08BCF,3,7,3.3333333333333335,0.3260061912063524,0.5628
C08BKM,1,0,4.0,,0.0
C08BQD,1,6,4.0,1.841630193107093,1.0
C08EFA,1,8,4.0,-0.1654657574997667,0.6266
C08ENQ,1,2,7.0,2.0183269954620426,1.0
C08FHO,2,2,6.0,0.9821591226678524,1.0
C08HEW,1,7,2.0,-1.57687376806785,0.1484
C08OHX,1,7,4.0,1.9688729820118016,1.0
C08QPE,1,7,4.0,1.924983807529696,1.0
C08TXI,1,3,3.0,-0.8945826973761394,0.3386
C09ARF,1,7,1.0,,0.0
C09BEG,1,2,6.0,2.483537163571127,1.0
C09EHM,2,0,2.5,,0.0
C09GEI,1,7,3.0,-0.38229611771471966,0.5258
C09GSF,1,2,7.0,2.0183269954620426,1.0
C09MLI,2,6,3.5,1.0927595793928717,0.8414
C09OHT,1,8,4.0,0.7025894816973867,1.0
C09PKF,1,2,7.0,1.9823211620444843,1.0
C0A5HN,1,7,0.0,-2.2636720521473412,0.0368
C0ADC9,1,7,2.0,-1.0142771636672199,0.4326
C0ADG6,1,7,4.0,1.9688729820118016,1.0
C0AF2X,1,3,3.0,-1.39512578557354,0.3394
C0AFL5,1,7,4.0,,0.0
C0AH5W,1,2,5.0,3.0184890348386744,1.0
