Drug,N.Targets,N.Seedgenes,d,zscore,pvalue
C01BDZ,1,7,4.0,1.584448948857971,1.0
C01BWL,2,6,4.0,1.6810573434535199,1.0
C01FVM,1,6,4.0,0.7107356601080863,0.818
C01GQV,2,8,4.5,2.1400162004450056,1.0
C01QHB,1,7,4.0,1.611399873155263,1.0
C02GUX,1,7,2.0,-0.3275625354090267,0.4872
C02HZN,1,7,2.0,-1.0049268320308529,0.4366
C02LOP,2,8,4.5,2.161211553830422,1.0
C02NBO,1,8,5.0,1.0776974269639927,0.9564
C02NZH,1,7,4.0,1.9504796573716667,1.0
C02PGS,1,3,3.0,-1.388925990521828,0.3414
C02UKH,1,7,4.0,1.13550750300352,1.0
C02UYV,1,7,4.0,1.1336630699305303,1.0
C02VME,1,7,4.0,1.9638240113763203,1.0
C02ZBI,2,6,4.5,1.310581769239594,1.0
C03FHV,1,8,4.0,1.1609632674894994,1.0
C03KFP,2,3,3.5,-0.24722728548983278,0.4174
C03KOG,1,8,4.0,0.6988133454480576,1.0
C03KUV,1,7,4.0,,0.0
C03NAR,1,7,3.0,1.1355075030035207,1.0
C03OEI,1,7,3.0,,0.0
C03ZRM,1,7,0.0,-2.1778657219114264,0.0364
C04EHN,2,6,4.0,1.6740470595167822,1.0
C04EVK,1,8,4.0,1.4240576217653766,1.0
C04GFC,1,7,2.0,-0.3275625354090267,0.4872
C04GKV,2,7,4.0,1.4449889004963703,1.0
C04GVM,1,6,5.0,1.7415240845229014,1.0
C04HQK,3,7,4.333333333333333,1.3316944566822262,0.8072
C04INH,2,7,4.0,1.9638240113763203,1.0
C04JES,1,8,4.0,2.886751345948129,1.0
C04JOX,3,3,3.3333333333333335,-0.4979049537772444,0.3414
C04OXM,1,8,4.0,1.1274228622243232,1.0
C04OYX,1,7,3.0,,0.0
C04PAT,1,7,2.0,-1.0049268320308529,0.4366
C05FRE,1,6,5.0,1.7451090210016993,1.0
C05LVD,1,8,4.0,0.16144620615734115,0.7576
C05MQY,1,7,4.0,1.54117848044927,1.0
C05OBK,1,6,5.0,1.7415240845229014,1.0
C05OSP,1,7,3.0,1.1281521496355325,1.0
C05PBG,1,8,4.0,0.6789985379354494,1.0
C05QCD,1,8,4.0,0.6988133454480576,1.0
C05RJC,1,7,4.0,1.584448948857971,1.0
C05SEW,1,7,3.0,-0.4153118079088991,0.5022
C05ULY,1,7,4.0,1.572888606796108,1.0
C05WVF,1,7,2.0,-1.135969198191385,0.4366
C06AMS,1,8,4.0,1.5842730717614362,1.0
C06DWR,1,6,5.0,1.7451090210016993,1.0
C06EWA,1,3,3.0,-1.388925990521828,0.3414
C06INP,2,7,4.0,1.4449889004963703,1.0
C06QAI,2,6,4.0,1.6810573434535199,1.0
C06SLN,1,7,3.0,1.1281521496355325,1.0
C06WZQ,1,8,5.0,1.0733557393491486,0.9558
C07BXP,1,7,4.0,1.6450023509957834,1.0
C07BZQ,2,8,4.5,2.1400162004450056,1.0
C07HJM,1,7,4.0,0.523378643754551,0.744
C07LGP,2,7,3.5,-0.03496776998668203,0.5164
C07MCW,2,7,1.0,-1.2350755531153077,0.265
C07TEG,1,6,4.0,0.7107356601080863,0.818
C07VNB,1,8,4.0,1.5842730717614362,1.0
C07YKP,1,3,3.0,-0.6859570713387996,0.3414
C08BCF,3,7,3.3333333333333335,0.2881100659487208,0.5472
C08BKM,1,6,5.0,1.7491946791268174,1.0
C08BQD,1,7,4.0,1.5962465494524067,1.0
C08EFA,1,7,5.0,1.4454043619180326,1.0
C08ENQ,1,8,4.0,0.6988133454480576,1.0
C08FHO,2,8,4.5,1.8898536159700994,1.0
C08HEW,1,7,2.0,-1.5900149577957605,0.143
C08OHX,1,7,4.0,1.9468088476825218,1.0
C08QPE,1,3,3.0,-0.6859570713387996,0.3414
C08TXI,1,7,2.0,-0.28671518972213306,0.505
