Drug,N.Targets,N.Seedgenes,d,zscore,pvalue
C0DGS2,2,8,3.0,0.09741599328981401,0.739
C0DGV4,1,0,7.0,,0.0
C0DJ8P,1,3,5.0,1.4146379325438996,1.0
C0DJ9B,1,0,4.0,,0.0
C0DJS1,1,7,4.0,1.562731728323025,1.0
C0DL3F,1,6,2.0,-0.8083857394697593,0.4144
C0DQO3,1,3,5.0,0.6948377691980704,1.0
C0DRX5,1,3,3.0,-0.924758047477855,0.3258
C0DUR3,1,3,5.0,2.6378858758863895,1.0
C0DUT2,2,6,2.5,-0.027511910559720194,0.5046
C0E2OG,1,6,3.0,0.5615794518684162,0.788
C0E7BZ,1,0,8.0,,0.0
C0ED6J,1,2,7.0,6.989978028233928,1.0
C0EF7G,1,8,3.0,-0.22819231853363836,0.7458
C0EFS9,2,0,3.5,,0.0
C0EIC6,2,3,5.0,1.5935502526752323,1.0
C0EIQ6,1,6,2.0,-1.1777649401647452,0.1684
C0EKO5,2,7,4.5,1.5996634073382028,1.0
C0EU7G,2,3,4.0,0.43790308576191816,0.9128
C0EV2X,1,3,4.0,,0.0
C0F7QU,2,6,3.0,0.4716748027938783,0.7458
C0F8XB,1,3,6.0,3.397754966952034,1.0
C0FAJ9,1,2,6.0,,0.0
C0FJE7,1,6,4.0,0.6315222957062698,0.8314
C0FK5Q,2,0,7.5,,0.0
C0FK8L,1,8,3.0,-1.4408781465492426,0.1962
C0FM1R,1,3,4.0,0.5183042676766957,0.7486
C0FV5J,1,0,4.0,,0.0
C0G1XS,2,6,1.0,-1.5104395474943506,0.1684
C0G3LI,2,3,4.0,0.43790308576191816,0.9128
C0G3WF,1,3,3.0,-0.924758047477855,0.3258
C0G5VX,2,2,6.0,0.0,1.0
C0G5WC,1,7,4.0,1.562731728323025,1.0
C0G7XN,1,6,4.0,0.6286723010771527,0.8316
C0GAW3,2,3,4.5,1.9175666121169872,1.0
C0GI9Y,1,0,8.0,,0.0
C0GL1Y,1,3,4.0,0.5183042676766957,0.7486
C0GS4F,1,6,3.0,-0.42534311532047514,0.521
C0GU8Y,1,8,3.0,-1.4274798069426784,0.1986
C0GUA3,1,0,4.0,,0.0
C0H5CG,2,6,1.0,-1.5104395474943506,0.1684
C0H6QS,1,3,4.0,-0.5295738938390189,0.5168
C0H6US,1,2,7.0,9.927809602765956,1.0
C0H8UN,2,7,4.0,1.5268195688070179,1.0
C0HB4C,1,3,3.0,-0.924758047477855,0.3258
C0HCX8,1,6,3.0,-0.360665485140628,0.585
C0HEN3,1,3,5.0,0.0,1.0
C0HEN9,1,0,7.0,,0.0
C0HG6I,1,3,5.0,1.4146379325438996,1.0
C0HOD9,1,8,3.0,-1.3708096444919322,0.2116
C0HZ7E,3,6,2.3333333333333335,-0.40314310828753086,0.3818
C0I1EM,1,6,2.0,-1.1777649401647452,0.1684
C0I4EG,1,0,4.0,,0.0
C0I5FT,1,3,4.0,-0.019107596817660697,0.6588
C0I5NG,1,2,6.0,2.3230589677595566,1.0
C0I9YS,1,6,4.0,0.6286723010771527,0.8316
C0IA8K,3,0,3.6666666666666665,,0.0
C0IC5D,1,3,5.0,1.3895439382722716,1.0
C0ICB5,1,3,3.0,-0.924758047477855,0.3258
C0IFV7,2,7,4.0,1.4637603360286122,1.0
C0IG5B,1,0,7.0,,0.0
C0IM6J,1,6,2.0,-1.1777649401647452,0.1684
C0IN2J,2,3,4.0,0.43790308576191816,0.9128
C0IUL1,2,3,5.5,1.0626048577700655,0.8938
C0IWH4,1,8,3.0,-0.8933459188170043,0.2486
C0IWH9,1,6,2.0,-0.8426193842803549,0.3412
C0J5CR,2,2,6.0,0.0,1.0
C0J9UP,1,3,3.0,-0.924758047477855,0.3258
C0JC8U,1,6,3.0,0.0018498824131355138,0.663
C0JD8S,1,7,4.0,,0.0
