"module","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","NeighborhoodConnectivity","Radiality","Stress","TopologicalCoefficient"
"M1",6.12826146636364,0.00506502909090909,0.166241335545455,0.0497835498181818,2.18181818181818,5.66883116881818,0.911581698909091,11044.9090909091,0.170830327
"M2",4.86765422473118,0.00605401405376344,0.208906497344086,0.389119994924731,5.70967741935484,17.6263326244624,0.933316306505376,29421.6129032258,0.297914024946237
"M3",5.42329640833333,0.00426794355555556,0.186668627777778,0.025925926,2.44444444444444,4.82777777777778,0.923736268888889,13779.1111111111,0.127839506222222
"M4",5.294993526,0.00850621014285714,0.193291912571429,0.0428571428571429,2.71428571428571,12.1892857142857,0.925948387285714,28340.8571428571,0.129839852571429
"M5",4.23793219195556,0.00737247293333333,0.238398560266667,0.391638596466667,7.73333333333333,22.1130190931111,0.944173583,38117.4666666667,0.188193901977778
"M6",4.36544418525316,0.0065687036835443,0.231213355531646,0.327572760683544,6.16455696202532,26.0398594114051,0.941975100227848,36851.6962025316,0.214542129303797
"M7",4.1567801535,0.00795729532692308,0.243075142461538,0.567960756480769,10.1730769230769,25.8672163123077,0.945572755923077,34013.5,0.307176298192308
"M8",4.72112479664103,0.00772141823076923,0.215107934230769,0.444800998512821,5.53846153846154,19.9886104628974,0.935842675897436,27645.641025641,0.322321531410256
"M9",4.63916163134375,0.00482987521875,0.216966824171875,0.761044277984375,7.421875,49.7049251475156,0.937255833984375,29823.65625,0.58722467284375
"M10",5.918162431,0.00594211435294118,0.172253708,0,2.11764705882353,9.17320261458824,0.915204095764706,19863.5294117647,0.114379084941176
"M11",4.72625041959259,0.00326737677777778,0.213540518666667,0.369179894185185,4.37037037037037,15.0543650792593,0.935754303148148,11750.5925925926,0.269267613296296
"M12",4.44323727634615,0.00546353307692308,0.227499849846154,0.2870308785,4.57692307692308,13.5579422725769,0.940633840076923,30099.6153846154,0.239766383384615
"M13",6.19626672428571,0.00678365357142857,0.165436122714286,0.169727891142857,2.71428571428571,7.30654761928571,0.9104091945,14670.1428571429,0.330770502642857
"M14",4.4194864051,0.00776231555,0.22885101655,0.16511904755,4,17.60333333315,0.9410433377,30188.3,0.15462373015
"M15",5.9356495472,0.002405949,0.1693180756,0.92,4.2,4.2,0.9149025942,9896,0.7885714286
"M16",6.05740181258333,0.00422439283333333,0.168346247333333,0.617171717083333,3.75,8.33787878783333,0.91280341725,18719.5,0.6492414455
"M17",4.67292788652174,0.00384791230434783,0.21654765926087,0.446463849304348,6.1304347826087,15.024422912913,0.936673657130435,32120.1739130435,0.287850112565217
"M18",5.40310746692857,0.003266939,0.186032613285714,0,2.07142857142857,14.8904761905,0.924084354428571,9107,0.0404761905
"M19",6.3698892248,0.0066526882,0.162055338266667,0.0311111111333333,2.26666666666667,6.6222222222,0.907415703066667,14454.2666666667,0.202863247866667
"M20",4.69216825466154,0.00425850186153846,0.214119763923077,0.0995419147384615,2.6,36.6627535434154,0.936341926446154,14026.9538461538,0.108621187707692
"M21",5.673716012,0.0015094315,0.1776224565,0.29166666675,2,5.5625,0.91941868925,2531.5,0.2105392155
"M22",5.3915133205,0.00285687545454545,0.186396094045455,0.613076578545454,3.86363636363636,24.3971488281818,0.924284252863636,24240.1818181818,0.521516564272727
